Console,GameName,Review,Score,Score_Category
PC,Baldur's Gate 3 Early Access Review,Early Access,6,Fair (6-6.9)
NS,Control: Ultimate Edition Cloud Version Review,Good,7,Good (7-7.9)
XONE,Doom Eternal: The Ancient Gods Part 1 Review,Good,7,Good (7-7.9)
PC,Doom Eternal: The Ancient Gods Part 1 Review,Good,7,Good (7-7.9)
PS4,Doom Eternal: The Ancient Gods Part 1 Review,Good,7,Good (7-7.9)
XONE,Watch Dogs: Legion Review,Great,8,Great (8-8.9)
PC,Watch Dogs: Legion Review,Great,8,Great (8-8.9)
PS4,Watch Dogs: Legion Review,Great,8,Great (8-8.9)
PC,Ring Of Pain Review,Great,8,Great (8-8.9)
NS,Pikmin 3 Deluxe Review,Great,8,Great (8-8.9)
PC,Ghostrunner Review,Good,7,Good (7-7.9)
XONE,Ghostrunner Review,Good,7,Good (7-7.9)
PS4,Ghostrunner Review,Good,7,Good (7-7.9)
PC,Disc Room Review – Getting Buzzed,Great,8,Great (8-8.9)
NS,Disc Room Review – Getting Buzzed,Great,8,Great (8-8.9)
XONE,NHL 21 Review,Superb,9,Excellent (9-10)
PS4,NHL 21 Review,Superb,9,Excellent (9-10)
PC,Noita Review,Good,7,Good (7-7.9)
PC,Amnesia: Rebirth Review,Great,8,Great (8-8.9)
PC,Genshin Impact Review – Direct Hit,Good,7,Good (7-7.9)
PS4,Genshin Impact Review – Direct Hit,Good,7,Good (7-7.9)
PC,Ikenfell Review,Fair,6,Fair (6-6.9)
XONE,Ikenfell Review,Fair,6,Fair (6-6.9)
PS4,Ikenfell Review,Fair,6,Fair (6-6.9)
NS,Ikenfell Review,Fair,6,Fair (6-6.9)
NS,Ring Fit Adventure Review: One Year Later,Superb,9,Excellent (9-10)
XONE,Star Wars: Squadrons Review – Catch Me If You Can,Good,7,Good (7-7.9)
PC,Star Wars: Squadrons Review – Catch Me If You Can,Good,7,Good (7-7.9)
PS4,Star Wars: Squadrons Review – Catch Me If You Can,Good,7,Good (7-7.9)
NS,Mario Kart Live: Home Circuit Review – Making Tracks,Good,7,Good (7-7.9)
NS,Mario Kart Live: Home Circuit Review – Making Tracks,Good,7,Good (7-7.9)
PC,I Am Dead Review – Staying Alive,Good,7,Good (7-7.9)
PS4,FIFA 21 Review – A Goal Bonanza,Great,8,Great (8-8.9)
NS,Super Mario Bros. 35 Review – Mario Royale,Good,7,Good (7-7.9)
PC,The Solitaire Conspiracy Review – Jack Of All Trades,Good,7,Good (7-7.9)
XONE,Crash Bandicoot 4 Review – Platformer's Delight,Great,8,Great (8-8.9)
PS4,Crash Bandicoot 4 Review – Platformer's Delight,Great,8,Great (8-8.9)
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,Fair,6,Fair (6-6.9)
PC,Pendragon Review – Endless Legends,Fair,6,Fair (6-6.9)
PC,Serious Sam 4 Review – The Fourth Encounter,Good,7,Good (7-7.9)
PS4,NBA 2K21 Review – Ball Another Day,Fair,6,Fair (6-6.9)
PC,Crusader Kings 3 Review – Pass the Duchy,Great,8,Great (8-8.9)
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,Great,8,Great (8-8.9)
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,Fair,6,Fair (6-6.9)
PC,Surgeon Simulator 2 Review – Surgical Imprecision,Fair,6,Fair (6-6.9)
PC,"Hades Review – The Long, Hard Road Out of Hell",Superb,9,Excellent (9-10)
NS,"Hades Review – The Long, Hard Road Out of Hell",Superb,9,Excellent (9-10)
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",Superb,9,Excellent (9-10)
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,Great,8,Great (8-8.9)
PC,Road To Guangdong Review – Are We There Yet?,Terrible,2,Terrible (2-2.9)
PC,Vampire: The Masquerade - Shadows Of New York Review,Fair,6,Fair (6-6.9)
PS4,Vampire: The Masquerade - Shadows Of New York Review,Fair,6,Fair (6-6.9)
XONE,Vampire: The Masquerade - Shadows Of New York Review,Fair,6,Fair (6-6.9)
NS,Vampire: The Masquerade - Shadows Of New York Review,Fair,6,Fair (6-6.9)
PS4,"Othercide Review – Mother, May I",Great,8,Great (8-8.9)
PC,Marvel's Avengers Review – Infinity War,Good,7,Good (7-7.9)
XONE,Tell Me Why Review,Good,7,Good (7-7.9)
PC,Tell Me Why Review,Good,7,Good (7-7.9)
NS,Moon Review – The Bright Side,Great,8,Great (8-8.9)
PC,Star Renegades Review – The Heat Of The Moment,Great,8,Great (8-8.9)
NS,The Last Campfire Review – One Step At A Time,Great,8,Great (8-8.9)
PS4,Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,Superb,9,Excellent (9-10)
XONE,Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,Superb,9,Excellent (9-10)
PC,Paradise Killer Review,Superb,9,Excellent (9-10)
NS,Paradise Killer Review,Superb,9,Excellent (9-10)
PC,Evergate Review – Ever Great,Great,8,Great (8-8.9)
PS4,Evergate Review – Ever Great,Great,8,Great (8-8.9)
NS,Evergate Review – Ever Great,Great,8,Great (8-8.9)
PS4,Madden 21 Review – Feels More Like An Update,Fair,6,Fair (6-6.9)
PC,A Short Hike Review,Superb,9,Excellent (9-10)
NS,A Short Hike Review,Superb,9,Excellent (9-10)
PS4,Project Cars 3 Review – Into The Horizon,Good,7,Good (7-7.9)
PC,Project Cars 3 Review – Into The Horizon,Good,7,Good (7-7.9)
XONE,Project Cars 3 Review – Into The Horizon,Good,7,Good (7-7.9)
PC,Control AWE DLC Review – Haunted Oldest House,Fair,6,Fair (6-6.9)
PS4,Windbound Review – Against The Wind,Mediocre,5,Mediocre (5-5.9)
PC,Thousand Threads Review -- Post Secrets,Mediocre,5,Mediocre (5-5.9)
PC,Spiritfarer Review – Purrrgatory,Superb,9,Excellent (9-10)
PC,No Straight Roads Review – Bangers And Smash,Good,7,Good (7-7.9)
NS,No Straight Roads Review – Bangers And Smash,Good,7,Good (7-7.9)
PC,Microsoft Flight Simulator Review – Max Altitude,Superb,9,Excellent (9-10)
IOS,Next Stop Nowhere Review – Bugs On The Windshield,Bad,3,Bad (3-3.9)
